,id,uri,events,agent,predicate,patients,text
0,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Former_Indonesian_President_Suharto_dies_at_86#ev38,Susilo_Bambang_Yudhoyono,declare,a+week+of+national+mourning,A week of national mourning was declared by President Susilo Bambang Yudhoyono.
1,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Bush_delivers_final_State_of_the_Union_address#ev76_1,Tom_Cruise,address,the+american+economy,"In a televised address, the current president described Suharto as ""one of Indonesia's best sons and national leaders who has done very great service to his beloved nation"" and called for all Indonesians to pay their respects."
2,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Former_Indonesian_President_Suharto_dies_at_86#ev40,the+current+president,describe,Suharto,"In a televised address, the current president described Suharto as ""one of Indonesia's best sons and national leaders who has done very great service to his beloved nation"" and called for all Indonesians to pay their respects."
3,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Former_Indonesian_President_Suharto_dies_at_86#ev22,all+indonesians,pay,their+respects,"In a televised address, the current president described Suharto as ""one of Indonesia's best sons and national leaders who has done very great service to his beloved nation"" and called for all Indonesians to pay their respects."
4,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Former_Indonesian_President_Suharto_dies_at_86#ev29,Suharto,bear,RadenSuharto,"Suharto was born Raden Suharto on June 8, 1921 in Kemusu Argamulja, Java, Indonesia."
5,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Former_Indonesian_President_Suharto_dies_at_86#ev30,by+two+sons+and+one+daughter,survive,Suharto,Suharto is survived by two sons and one daughter.
6,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Former_Indonesian_President_Suharto_dies_at_86#ev44,his+eldest+daughter+%2c+tutut+%2c,say,my+father+passed+away+peacefully,"His eldest daughter, Tutut, said, ""My father passed away peacefully."
7,13000,http://en.wikinews.org/wiki/Former_Indonesian_President_Suharto_dies_at_86,Former_Indonesian_President_Suharto_dies_at_86#ev45,may+god,bless,all+of+his+mistakes,"May God bless him and forgive all of his mistakes."""
0,13001,http://en.wikinews.org/wiki/Former_Indian_president_APJ_Abdul_Kalam_dies_at_age_83,Former_Indian_president_APJ_Abdul_Kalam_dies_at_age_83#ev24,Rajnath_Singh,tweet,to+an+entire+generation,"Home minister Rajnath Singh tweeted, ""He was an inspiration to an entire generation."""
0,13002,http://en.wikinews.org/wiki/Former_Indian_President_R._Venkataraman_dies_age_98,Former_Indian_President_R._Venkataraman_dies_age_98#ev35,the+cabinet,say,a+state+funeral,
1,13002,http://en.wikinews.org/wiki/Former_Indian_President_R._Venkataraman_dies_age_98,Former_Indian_President_R._Venkataraman_dies_age_98#ev24,A._P._J._Abdul_Kalam,survive,the+only+surviving+former+indian+president,"With the death of Venkataraman, Abdul Kalam becomes the only surviving former Indian President."
2,13002,http://en.wikinews.org/wiki/Former_Indian_President_R._Venkataraman_dies_age_98,Former_Indian_President_R._Venkataraman_dies_age_98#ev35,the+cabinet,say,a+state+funeral,Indian Prime Minister Manmohan Singh said India had lost an outstanding figure.
3,13002,http://en.wikinews.org/wiki/Former_Indian_President_R._Venkataraman_dies_age_98,Former_Indian_President_R._Venkataraman_dies_age_98#ev25,India,lose,an+outstanding+figure,Indian Prime Minister Manmohan Singh said India had lost an outstanding figure.
0,13003,http://en.wikinews.org/wiki/Former_Indian_PM_Narasimha_Rao_passes_away,Former_Indian_PM_Narasimha_Rao_passes_away#ev16,former+prime+minister+of+india,minister,India,"Mr. P V Narasimha Rao, former prime minister of India, passed away this morning after suffering cardiac arrest in a private hospital in New Delhi."
1,13003,http://en.wikinews.org/wiki/Former_Indian_PM_Narasimha_Rao_passes_away,Former_Indian_PM_Narasimha_Rao_passes_away#ev15,by+three+sons+and+five+daughters,survive,P._V._Narasimha_Rao,Rao is survived by three sons and five daughters.
0,13004,"http://en.wikinews.org/wiki/Former_Illinois_governor_Blagojevich_asks_US_Supreme_Court_to_delay_corruption_trial,_prosecutors_to_respond_by_Friday","Former_Illinois_governor_Blagojevich_asks_US_Supreme_Court_to_delay_corruption_trial,_prosecutors_to_respond_by_Friday#ev20",List_of_A_Song_of_Ice_and_Fire_characters,brother,in+case,"Prosecutors added new charges, including bribery, against the brothers in case the Supreme Court finds the honest-services law unconstitutional."
