,id,uri,events,agent,predicate,patients,text
0,17000,http://en.wikinews.org/wiki/Blair_recognizes_Kyoto_treaty_stopped_by_its_restrictions,Blair_recognizes_Kyoto_treaty_stopped_by_its_restrictions#ev14,United_Nations_Framework_Convention_on_Climate_Change,protocol,Kyoto_Protocol,"In New York, speaking at the Clinton Global Initiative, British Prime Minister Tony Blair spoke with ""brutal honesty"" about the UNFCCC's Kyoto protocol and global warming."
1,17000,http://en.wikinews.org/wiki/Blair_recognizes_Kyoto_treaty_stopped_by_its_restrictions,Blair_recognizes_Kyoto_treaty_stopped_by_its_restrictions#ev17,no+country,cut,its+growth,"Blair, a longtime supporter of the Kyoto treaty, recognized that countries will not accept the limits imposed on Kyoto: ""No country is going to cut its growth."""
2,17000,http://en.wikinews.org/wiki/Blair_recognizes_Kyoto_treaty_stopped_by_its_restrictions,Blair_recognizes_Kyoto_treaty_stopped_by_its_restrictions#ev14,United_Nations_Framework_Convention_on_Climate_Change,protocol,Kyoto_Protocol,"India and China are classified as developing countries in the Kyoto protocol, so they can get money and technology but are not restricted by its limits."
0,17001,http://en.wikinews.org/wiki/Blair_launches_third_and_final_manifesto,Blair_launches_third_and_final_manifesto#ev47,by+their+promises+by,judge,Labour_Party_(UK),"Deputy leader of the Liberal Democrats, Sir Menzies Campbell, whose party was the only mainstream party consistently against the Iraq war, said Labour would ""not be judged by their promises, but by what they have done"", adding that Labour have not kept their previous promises."
1,17001,http://en.wikinews.org/wiki/Blair_launches_third_and_final_manifesto,Blair_launches_third_and_final_manifesto#ev33,Labour_Party_(UK),keep,their+previous+promises,"Deputy leader of the Liberal Democrats, Sir Menzies Campbell, whose party was the only mainstream party consistently against the Iraq war, said Labour would ""not be judged by their promises, but by what they have done"", adding that Labour have not kept their previous promises."
2,17001,http://en.wikinews.org/wiki/Blair_launches_third_and_final_manifesto,Blair_launches_third_and_final_manifesto#ev34,Conservative_Party_(UK),launch,their+manifestos,"The Conservative Party and Green Party launched their manifestos yesterday, and the Liberal Democrats launch theirs tomorrow."
3,17001,http://en.wikinews.org/wiki/Blair_launches_third_and_final_manifesto,Labour_attack_Tory_economic_policy#ev30,theLiberalDemocrats,launch,on+thursday,"The Conservative Party and Green Party launched their manifestos yesterday, and the Liberal Democrats launch theirs tomorrow."
4,17001,http://en.wikinews.org/wiki/Blair_launches_third_and_final_manifesto,Blair_launches_third_and_final_manifesto#ev12,Labour_Party_(UK),increase,income+tax+or+vat,"Tony Blair today launched the Labour Party's 112 page manifesto for a third term, entitled ""Britain: Forward not back"", at London's Mermaid Theatre this afternoon, promising not to increase income tax or VAT."
5,17001,http://en.wikinews.org/wiki/Blair_launches_third_and_final_manifesto,Blair_launches_third_and_final_manifesto#ev38,Gordon_Brown,describe,on+economic+policy,"Blair, with Chancellor Gordon Brown, described the manifesto, which focused on economic policy, as ""radical"", ""quintessentially New Labour"" and giving people the ""chance to succeed and make the most of what they have""."
6,17001,http://en.wikinews.org/wiki/Blair_launches_third_and_final_manifesto,Blair_launches_third_and_final_manifesto#ev12,Labour_Party_(UK),increase,income+tax+or+vat,"Conservative leader Michael Howard said that the British people had ""heard it all before"", and reiterated claims that Labour would have to increase taxes significantly in the third term."
0,17002,http://en.wikinews.org/wiki/Blair_is_first_public_official_to_apologize_for_Hurricane_Katrina_response,Blair_is_first_public_official_to_apologize_for_Hurricane_Katrina_response#ev28_0,Federal_government_of_the_United_States,refuse,to+evacuate+them,"British nationals living and vacationing in New Orleans reported that U.S. authorities had refused to evacuate them as Hurricane Katrina approached the city, leaving them stranded in their hotels."
1,17002,http://en.wikinews.org/wiki/Blair_is_first_public_official_to_apologize_for_Hurricane_Katrina_response,US_Senate_approves_$10.5_billon_in_aid_for_Hurricane_Katrina_victims#ev31,George_W._Bush,refuse,material+aid+from+france+and+britain,President George W. Bush has been criticized for refusing material aid from France and Britain in rescuing people trapped in New Orleans.
2,17002,http://en.wikinews.org/wiki/Blair_is_first_public_official_to_apologize_for_Hurricane_Katrina_response,Blair_is_first_public_official_to_apologize_for_Hurricane_Katrina_response#ev21,George_W._Bush,rescue,New_Orleans,President George W. Bush has been criticized for refusing material aid from France and Britain in rescuing people trapped in New Orleans.
0,17003,http://en.wikinews.org/wiki/Blair_flight_overshoots_runway,Blair_flight_overshoots_runway#ev18,with+bee+gees+star+robin+gibb,star,Robin_Gibb,"Prime minister Tony Blair, with his family, was on his way to stay with Bee Gees star Robin Gibb at his house in Miami Beach when the incident occurred."
0,17004,http://en.wikinews.org/wiki/Blair_denies_Iraq_pullout,Blair_denies_Iraq_pullout#ev32,the+britons+and+iraqi,favour,of+the+occupation,""", Blair believes that the Britons and Iraqi were in favour of the occupation."
1,17004,http://en.wikinews.org/wiki/Blair_denies_Iraq_pullout,Blair_denies_Iraq_pullout#ev13,by+protestors+on+the+19th,attack,british+troops+in+basra,"Despite a strong anti-war sentiment that has been growing in Iraq, particularly since British troops in Basra were attacked by protestors on the 19th."
2,17004,http://en.wikinews.org/wiki/Blair_denies_Iraq_pullout,Blair_denies_Iraq_pullout#ev45,the+iraqi+people,want,on+the+future+of+their+nation,"Responding allegations that the Iraqi people do not want western influence on the future of their nation, Blair said ""eight and a half million Iraqis showed which future they wanted when they came out and voted in January's elections."""
3,17004,http://en.wikinews.org/wiki/Blair_denies_Iraq_pullout,Blair_denies_Iraq_pullout#ev45,the+iraqi+people,want,on+the+future+of+their+nation,"Responding allegations that the Iraqi people do not want western influence on the future of their nation, Blair said ""eight and a half million Iraqis showed which future they wanted when they came out and voted in January's elections."""
4,17004,http://en.wikinews.org/wiki/Blair_denies_Iraq_pullout,Blair_denies_Iraq_pullout#ev36,British_Empire,have,approximately+8500+troops+in+iraq,"Britain has approximately 8500 Troops in Iraq, making them the second largest military force present in Iraq."
5,17004,http://en.wikinews.org/wiki/Blair_denies_Iraq_pullout,Blair_denies_Iraq_pullout#ev40,Tony_Blair,intend,to+pull+troops+out+of+iraq,"Despite reports to the contrary, British Prime Minister Tony Blair does not intend to pull troops out of Iraq, Chinese Newspaper Xinhua reported."
6,17004,http://en.wikinews.org/wiki/Blair_denies_Iraq_pullout,Blair_denies_Iraq_pullout#ev29,several+thousand,run,the+terrorist+insurgency,"Despite a recently conducted poll, 57% of Britons believe that the British Military should pull out of Iraq, as well as Blair's acknowledgement that ""several thousand run the terrorist insurgency around Baghdad."
0,17005,http://en.wikinews.org/wiki/Blair_could_face_inquiry_into_terror_vote,Blair_could_face_inquiry_into_terror_vote#ev35,chief+police+officers,support,to+support+a+political+agenda,British Prime Minister Tony Blair could face a House of Commons inquiry into claims that chief police officers were pressured to support a political agenda during Wednesday's vote to extend detention without charge.
1,17005,http://en.wikinews.org/wiki/Blair_could_face_inquiry_into_terror_vote,Blair_could_face_inquiry_into_terror_vote#ev12,wednesday+%27s,vote,to+extend+detention+without+charge,British Prime Minister Tony Blair could face a House of Commons inquiry into claims that chief police officers were pressured to support a political agenda during Wednesday's vote to extend detention without charge.
2,17005,http://en.wikinews.org/wiki/Blair_could_face_inquiry_into_terror_vote,UN_pressures_Iran_with_nuclear_compromise_plan#ev49,the+nuclear+program+in+iran,reject,the+proposal,"Although the proposal was rejected by the House of Commons, the lobbying has provoked criticism from senior members of the opposition Conservative Party, who are pushing for an inquiry into the behaviour of government ministers towards the police and for 'embroiling them in politics'."
3,17005,http://en.wikinews.org/wiki/Blair_could_face_inquiry_into_terror_vote,Blair_could_face_inquiry_into_terror_vote#ev46,home+office+minister+hazel+blears,deny,the+claims,"Home Office minister Hazel Blears denied the claims: ""It is entirely proper that the police were there to make their case and for Parliament to consider it."""
4,17005,http://en.wikinews.org/wiki/Blair_could_face_inquiry_into_terror_vote,Blair_could_face_inquiry_into_terror_vote#ev23,the+police,make,their+case,"Home Office minister Hazel Blears denied the claims: ""It is entirely proper that the police were there to make their case and for Parliament to consider it."""
0,17006,http://en.wikinews.org/wiki/Blair_challenges_New_Zealand_to_fight_against_global_warming,Blair_challenges_New_Zealand_to_fight_against_global_warming#ev23,british+prime+minister+tony+blair,see,New_Zealand,British Prime Minister Tony Blair sees New Zealand facing the challenge of playing a significant role in the fight against global warming.
1,17006,http://en.wikinews.org/wiki/Blair_challenges_New_Zealand_to_fight_against_global_warming,Blair_challenges_New_Zealand_to_fight_against_global_warming#ev18,you+and+other+people,keep,the+pressure,"Tony Blair, who visited New Zealand for 24 hours, said that the pressure must be kept on governments to address climate change whether or not they are signatories to the Kyoto Protocol."
2,17006,http://en.wikinews.org/wiki/Blair_challenges_New_Zealand_to_fight_against_global_warming,Blair_challenges_New_Zealand_to_fight_against_global_warming#ev19,ordinary+people+as+well,part,in+solving+this+great+task,"He encouraged ordinary people as well to take part in solving this great task: ""One of the things you and other people can do is keep up the pressure... there are going to be some difficult decisions for government""."
3,17006,http://en.wikinews.org/wiki/Blair_challenges_New_Zealand_to_fight_against_global_warming,Blair_challenges_New_Zealand_to_fight_against_global_warming#ev18,you+and+other+people,keep,the+pressure,"He encouraged ordinary people as well to take part in solving this great task: ""One of the things you and other people can do is keep up the pressure... there are going to be some difficult decisions for government""."
0,17007,http://en.wikinews.org/wiki/Blair_asked_to_intervene_as_British_artist_faces_jail_in_Turkey_for_collage,Blair_asked_to_intervene_as_British_artist_faces_jail_in_Turkey_for_collage#ev6,George_W._Bush,award,a+rosette,"The case was brought after Dickinson displayed a collage showing Tayyip Erdogan, the Turkish Prime Minister, as a dog, being awarded a rosette by President Bush in a pet show."
0,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev15,theSpecialistCrimeDirectorate,arrest,Conscription,Lord Levy was arrested by the Specialist Crime Directorate of London’s Metropolitan police as part of an on-going investigation into the cash-for-peerages row which has troubled the Labour government since the start of the year.
1,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev15,theSpecialistCrimeDirectorate,arrest,Conscription,"Police have arrested Lord Levy, chief fundraiser to the Labour Party and close associate of Tony Blair."
2,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev37,"Michael_Levy,_Baron_Levy",arrange,Labour_Party_(UK),"It’s believed that as chief fundraiser, Lord Levy arranged the Labour Party’s loans."
3,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev53,all+political+parties,deny,any+wrong-doing,"All political parties deny any wrong-doing, although the arrest of one of the Prime Minister’s closest allies is going to provide yet more scandal for the already troubled party."
4,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev15,theSpecialistCrimeDirectorate,arrest,Conscription,"All political parties deny any wrong-doing, although the arrest of one of the Prime Minister’s closest allies is going to provide yet more scandal for the already troubled party."
5,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev40,Downing_Street,decline,a+%60%60+party+matter+%27%27,Downing Street has so far declined to comment on what they call a “party matter” and Levy himself has accused the police of “over-reacting”.
6,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev54_0,Downing_Street,comment,a+%60%60+party+matter+%27%27,Downing Street has so far declined to comment on what they call a “party matter” and Levy himself has accused the police of “over-reacting”.
7,17008,http://en.wikinews.org/wiki/Blair_ally_Lord_Levy_arrested,Blair_ally_Lord_Levy_arrested#ev55,Downing_Street,accuse,the+police+of+%60%60+over-reacting+%27%27,Downing Street has so far declined to comment on what they call a “party matter” and Levy himself has accused the police of “over-reacting”.
