,id,uri,events,agent,predicate,patients,text
0,1000,http://en.wikinews.org/wiki/Vancouver_will_run_out_of_office_space_in_5_years,Vancouver_will_run_out_of_office_space_in_5_years#ev49_1,some+public+officials,propose,the+developers+willing+to+build+commercial,"But because residential developments are so much more profitable than commercial and office space, some public officials are proposing offering better incentives to the developers willing to build commercial."
1,1000,http://en.wikinews.org/wiki/Vancouver_will_run_out_of_office_space_in_5_years,Vancouver_will_run_out_of_office_space_in_5_years#ev28,some+public+officials,offer,the+developers+willing+to+build+commercial,"But because residential developments are so much more profitable than commercial and office space, some public officials are proposing offering better incentives to the developers willing to build commercial."
2,1000,http://en.wikinews.org/wiki/Vancouver_will_run_out_of_office_space_in_5_years,Vancouver_will_run_out_of_office_space_in_5_years#ev37,the+population,reach,more+than+120%2c000,"And planners are expecting the population to reach more than 120,000 by 2030."
3,1000,http://en.wikinews.org/wiki/Vancouver_will_run_out_of_office_space_in_5_years,Vancouver_will_run_out_of_office_space_in_5_years#ev45,the+city+%27s,study,recently-released+jobs+and+land-use,The International Herald Tribune reports that the city’s recently-released jobs and land-use study is estimating that downtown Vancouver may run out of commercial and office space within 5 years.
4,1000,http://en.wikinews.org/wiki/Vancouver_will_run_out_of_office_space_in_5_years,Vancouver_will_run_out_of_office_space_in_5_years#ev34,a+20-year+urban+success+story,have,a+sad+ending,"In Vancouver, a 20-year urban success story may yet have a sad ending."
5,1000,http://en.wikinews.org/wiki/Vancouver_will_run_out_of_office_space_in_5_years,Vancouver_will_run_out_of_office_space_in_5_years#ev47,United_States,hope,to+have,The 'Vancouver problem' is one that many cities in the United States could only hope to have.
6,1000,http://en.wikinews.org/wiki/Vancouver_will_run_out_of_office_space_in_5_years,Vancouver_will_run_out_of_office_space_in_5_years#ev48,Vancouver,face,the+situation+vancouver+faces+now,"In Los Angeles, San Diego, Miami, and Washington, D.C. there has been a condominium boom in recent years, but these cities are far from the situation Vancouver faces now."
0,1001,http://en.wikinews.org/wiki/Vancouver_storm_pollutes_water;_2_million_waterless,Vancouver_storm_pollutes_water;_2_million_waterless#ev23,food+stores,turn,produce+sprayers+used+to+cool+vegetables,"Food stores were ordered to turn off produce sprayers used to cool vegetables, and restaurants had to stop serving many food products."
1,1001,http://en.wikinews.org/wiki/Vancouver_storm_pollutes_water;_2_million_waterless,Vancouver_storm_pollutes_water;_2_million_waterless#ev25,produce+sprayers+used+to+cool+vegetables,cool,to+cool+vegetables,"Food stores were ordered to turn off produce sprayers used to cool vegetables, and restaurants had to stop serving many food products."
2,1001,http://en.wikinews.org/wiki/Vancouver_storm_pollutes_water;_2_million_waterless,Vancouver_storm_pollutes_water;_2_million_waterless#ev36,the+province+%27s+primary+electrical+provider,provider,the+province+%27s,"BC Hydro, the province's primary electrical provider, was busy repairing power and telephone lines blown down in the heavy winds."
