,answer,question,text,uri
0,"['http://dbpedia.org/resource/Freemasonry', 'http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns#ev18', 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+study']","['http://dbpedia.org/resource/Freemasonry' '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+study']","A recently released report has found that elephants living in protected environments in their natural habitats live significantly longer lives than elephants kept in zoos.

The report focused on Elephants in European zoos, and it stated that ""bringing elephants into zoos profoundly impairs their viability."" Georgia J. Mason, who lead the study, also stated that zoos do not need to abandon the idea of keeping elephants in captivity, although he did recommend that imports of the animal should only occur in zoos which have a track record of successfully addressing issues in elephant's health, and have a productive breeding programme.

“Currently zoos are consumers rather than producers of elephants,” added Mason. “We feel that’s not really appropriate.”

The Association of Zoos and Aquariums criticised the findings. The organisation's senior vice president for conservation and education, Paul Boyle, described the research as “terribly flawed.”

Boyle also stated that he did not remember any time when elephants were brought into the US for zoos. ""I cannot speak for other countries,"" he added ""but that [the statement that elephants are imported for zoos] is not true of the United States.”

The researchers for the report were from organisations including the Royal Society for the Prevention of Cruelty to Animals and the University of Guelph.","http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
1,"['http://dbpedia.org/resource/Freemasonry', 'http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns#ev26', 'http://www.newsreader-project.eu/data/wikinews/non-entities/for+other+countries']","['http://dbpedia.org/resource/Freemasonry' '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/for+other+countries']","A recently released report has found that elephants living in protected environments in their natural habitats live significantly longer lives than elephants kept in zoos.

The report focused on Elephants in European zoos, and it stated that ""bringing elephants into zoos profoundly impairs their viability."" Georgia J. Mason, who lead the study, also stated that zoos do not need to abandon the idea of keeping elephants in captivity, although he did recommend that imports of the animal should only occur in zoos which have a track record of successfully addressing issues in elephant's health, and have a productive breeding programme.

“Currently zoos are consumers rather than producers of elephants,” added Mason. “We feel that’s not really appropriate.”

The Association of Zoos and Aquariums criticised the findings. The organisation's senior vice president for conservation and education, Paul Boyle, described the research as “terribly flawed.”

Boyle also stated that he did not remember any time when elephants were brought into the US for zoos. ""I cannot speak for other countries,"" he added ""but that [the statement that elephants are imported for zoos] is not true of the United States.”

The researchers for the report were from organisations including the Royal Society for the Prevention of Cruelty to Animals and the University of Guelph.","http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
2,"['http://www.newsreader-project.eu/data/wikinews/entities/TheAssociationofZoosandAquariums', 'http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns#ev43', 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+findings']","['http://www.newsreader-project.eu/data/wikinews/entities/TheAssociationofZoosandAquariums'
 '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+findings']","A recently released report has found that elephants living in protected environments in their natural habitats live significantly longer lives than elephants kept in zoos.

The report focused on Elephants in European zoos, and it stated that ""bringing elephants into zoos profoundly impairs their viability."" Georgia J. Mason, who lead the study, also stated that zoos do not need to abandon the idea of keeping elephants in captivity, although he did recommend that imports of the animal should only occur in zoos which have a track record of successfully addressing issues in elephant's health, and have a productive breeding programme.

“Currently zoos are consumers rather than producers of elephants,” added Mason. “We feel that’s not really appropriate.”

The Association of Zoos and Aquariums criticised the findings. The organisation's senior vice president for conservation and education, Paul Boyle, described the research as “terribly flawed.”

Boyle also stated that he did not remember any time when elephants were brought into the US for zoos. ""I cannot speak for other countries,"" he added ""but that [the statement that elephants are imported for zoos] is not true of the United States.”

The researchers for the report were from organisations including the Royal Society for the Prevention of Cruelty to Animals and the University of Guelph.","http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
,answer,question,text,uri
0,"['http://dbpedia.org/resource/Freemasonry', 'http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns#ev18', 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+study']","['http://dbpedia.org/resource/Freemasonry' '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+study']","A recently released report has found that elephants living in protected environments in their natural habitats live significantly longer lives than elephants kept in zoos.

The report focused on Elephants in European zoos, and it stated that ""bringing elephants into zoos profoundly impairs their viability."" Georgia J. Mason, who lead the study, also stated that zoos do not need to abandon the idea of keeping elephants in captivity, although he did recommend that imports of the animal should only occur in zoos which have a track record of successfully addressing issues in elephant's health, and have a productive breeding programme.

“Currently zoos are consumers rather than producers of elephants,” added Mason. “We feel that’s not really appropriate.”

The Association of Zoos and Aquariums criticised the findings. The organisation's senior vice president for conservation and education, Paul Boyle, described the research as “terribly flawed.”

Boyle also stated that he did not remember any time when elephants were brought into the US for zoos. ""I cannot speak for other countries,"" he added ""but that [the statement that elephants are imported for zoos] is not true of the United States.”

The researchers for the report were from organisations including the Royal Society for the Prevention of Cruelty to Animals and the University of Guelph.","http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
1,"['http://dbpedia.org/resource/Freemasonry', 'http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns#ev26', 'http://www.newsreader-project.eu/data/wikinews/non-entities/for+other+countries']","['http://dbpedia.org/resource/Freemasonry' '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/for+other+countries']","A recently released report has found that elephants living in protected environments in their natural habitats live significantly longer lives than elephants kept in zoos.

The report focused on Elephants in European zoos, and it stated that ""bringing elephants into zoos profoundly impairs their viability."" Georgia J. Mason, who lead the study, also stated that zoos do not need to abandon the idea of keeping elephants in captivity, although he did recommend that imports of the animal should only occur in zoos which have a track record of successfully addressing issues in elephant's health, and have a productive breeding programme.

“Currently zoos are consumers rather than producers of elephants,” added Mason. “We feel that’s not really appropriate.”

The Association of Zoos and Aquariums criticised the findings. The organisation's senior vice president for conservation and education, Paul Boyle, described the research as “terribly flawed.”

Boyle also stated that he did not remember any time when elephants were brought into the US for zoos. ""I cannot speak for other countries,"" he added ""but that [the statement that elephants are imported for zoos] is not true of the United States.”

The researchers for the report were from organisations including the Royal Society for the Prevention of Cruelty to Animals and the University of Guelph.","http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
2,"['http://www.newsreader-project.eu/data/wikinews/entities/TheAssociationofZoosandAquariums', 'http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns#ev43', 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+findings']","['http://www.newsreader-project.eu/data/wikinews/entities/TheAssociationofZoosandAquariums'
 '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+findings']","A recently released report has found that elephants living in protected environments in their natural habitats live significantly longer lives than elephants kept in zoos.

The report focused on Elephants in European zoos, and it stated that ""bringing elephants into zoos profoundly impairs their viability."" Georgia J. Mason, who lead the study, also stated that zoos do not need to abandon the idea of keeping elephants in captivity, although he did recommend that imports of the animal should only occur in zoos which have a track record of successfully addressing issues in elephant's health, and have a productive breeding programme.

“Currently zoos are consumers rather than producers of elephants,” added Mason. “We feel that’s not really appropriate.”

The Association of Zoos and Aquariums criticised the findings. The organisation's senior vice president for conservation and education, Paul Boyle, described the research as “terribly flawed.”

Boyle also stated that he did not remember any time when elephants were brought into the US for zoos. ""I cannot speak for other countries,"" he added ""but that [the statement that elephants are imported for zoos] is not true of the United States.”

The researchers for the report were from organisations including the Royal Society for the Prevention of Cruelty to Animals and the University of Guelph.","http://en.wikinews.org/wiki/Zoo_elephants_live_shorter_lives_than_their_wild_counterparts,_report_warns"
3,"['http://www.newsreader-project.eu/data/wikinews/non-entities/us+government', 'http://en.wikinews.org/wiki/Zogby_poll_finds_45%25_want_new_9/11_investigation#ev24', 'http://www.newsreader-project.eu/data/wikinews/non-entities/with+8+%25+unsure']","['http://www.newsreader-project.eu/data/wikinews/non-entities/us+government'
 '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/with+8+%25+unsure']","Forty-five percent of American adults surveyed in a Zogby poll think that the September 11, 2001 attacks should be investigated anew. Poll results indicated that 42% believe that there has been a cover up (with 10% unsure) and 45% think ""Congress or an International Tribunal should re-investigate the attacks, including whether any US government officials consciously allowed or helped facilitate their success"" (with 8% unsure). 

These are figures from a nationwide telephone survey of 1200 individuals conducted by Zogby International from Friday, May 12 through Tuesday, May 16, 2006. The results have a margin of sampling error of +/- 2.9.

The poll was commissioned by 911truth.org, a single issue website aimed at pinning the blame of 9/11 on the Bush administration.

The results of this Zogby poll were released last Monday (22 May), but went largely unreported by the mass media, possibly due to bias within the source.",http://en.wikinews.org/wiki/Zogby_poll_finds_45%25_want_new_9/11_investigation
4,"['http://www.newsreader-project.eu/data/wikinews/non-entities/the+results', 'http://en.wikinews.org/wiki/Zogby_poll_finds_45%25_want_new_9/11_investigation#ev26', 'http://www.newsreader-project.eu/data/wikinews/non-entities/of+sampling+error+of+%2b+%2f']","['http://www.newsreader-project.eu/data/wikinews/non-entities/the+results'
 '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/of+sampling+error+of+%2b+%2f']","Forty-five percent of American adults surveyed in a Zogby poll think that the September 11, 2001 attacks should be investigated anew. Poll results indicated that 42% believe that there has been a cover up (with 10% unsure) and 45% think ""Congress or an International Tribunal should re-investigate the attacks, including whether any US government officials consciously allowed or helped facilitate their success"" (with 8% unsure). 

These are figures from a nationwide telephone survey of 1200 individuals conducted by Zogby International from Friday, May 12 through Tuesday, May 16, 2006. The results have a margin of sampling error of +/- 2.9.

The poll was commissioned by 911truth.org, a single issue website aimed at pinning the blame of 9/11 on the Bush administration.

The results of this Zogby poll were released last Monday (22 May), but went largely unreported by the mass media, possibly due to bias within the source.",http://en.wikinews.org/wiki/Zogby_poll_finds_45%25_want_new_9/11_investigation
5,"['http://www.newsreader-project.eu/data/wikinews/non-entities/by+911truth', 'http://en.wikinews.org/wiki/Zogby_poll_finds_45%25_want_new_9/11_investigation#ev15', 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+poll']","['http://www.newsreader-project.eu/data/wikinews/non-entities/by+911truth'
 '?'
 'http://www.newsreader-project.eu/data/wikinews/non-entities/the+poll']","Forty-five percent of American adults surveyed in a Zogby poll think that the September 11, 2001 attacks should be investigated anew. Poll results indicated that 42% believe that there has been a cover up (with 10% unsure) and 45% think ""Congress or an International Tribunal should re-investigate the attacks, including whether any US government officials consciously allowed or helped facilitate their success"" (with 8% unsure). 

These are figures from a nationwide telephone survey of 1200 individuals conducted by Zogby International from Friday, May 12 through Tuesday, May 16, 2006. The results have a margin of sampling error of +/- 2.9.

The poll was commissioned by 911truth.org, a single issue website aimed at pinning the blame of 9/11 on the Bush administration.

The results of this Zogby poll were released last Monday (22 May), but went largely unreported by the mass media, possibly due to bias within the source.",http://en.wikinews.org/wiki/Zogby_poll_finds_45%25_want_new_9/11_investigation
