,+10_position,+10_word,+1_position,+1_word,+2_position,+2_word,+3_position,+3_word,+4_position,+4_word,+5_position,+5_word,+6_position,+6_word,+7_position,+7_word,+8_position,+8_word,+9_position,+9_word,-10_position,-10_word,-1_position,-1_word,-2_position,-2_word,-3_position,-3_word,-4_position,-4_word,-5_position,-5_word,-6_position,-6_word,-7_position,-7_word,-8_position,-8_word,-9_position,-9_word,agent_word,classification,patient_word,relation_position,relation_word
0,14,minister,2,Voronin,4,Moldova,5,today,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,117,She,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,125,till,122,minister,120,department,52 of the 101 mps,False,her proposals,1,Vladimir
1,16,Under,4,Moldova,5,today,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,120,department,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,125,till,122,minister,52 of the 101 mps,False,her proposals,2,Voronin
2,18,constitution,5,today,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,122,minister,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,125,till,52 of the 101 mps,False,her proposals,4,Moldova
3,20,Ms,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,125,till,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,52 of the 101 mps,False,her proposals,5,today
4,21,Greceanii,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,131,presidential,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,52 of the 101 mps,False,her proposals,6,signed
5,24,days,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,132,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,52 of the 101 mps,False,her proposals,8,decree
6,27,date,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,137,deputy,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,52 of the 101 mps,False,her proposals,9,nominating
7,30,decree,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,138,prime,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,52 of the 101 mps,False,her proposals,10,Zinaida
8,32,submit,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,139,minister,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,52 of the 101 mps,False,her proposals,11,Greceanii
9,34,government,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,0,President,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,52 of the 101 mps,False,her proposals,13,prime
10,36,program,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,1,Vladimir,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,52 of the 101 mps,False,her proposals,14,minister
11,39,list,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,36,program,2,Voronin,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,52 of the 101 mps,False,her proposals,16,Under
12,41,executive,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,36,program,39,list,4,Moldova,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,52 of the 101 mps,False,her proposals,18,constitution
13,42,members,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,36,program,39,list,41,executive,5,today,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,52 of the 101 mps,False,her proposals,20,Ms
14,44,parliament,24,days,27,date,30,decree,32,submit,34,government,36,program,39,list,41,executive,42,members,6,signed,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,52 of the 101 mps,False,her proposals,21,Greceanii
15,50,MPs,27,date,30,decree,32,submit,34,government,36,program,39,list,41,executive,42,members,44,parliament,8,decree,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,52 of the 101 mps,False,her proposals,24,days
16,52,endorse,30,decree,32,submit,34,government,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,9,nominating,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,52 of the 101 mps,False,her proposals,27,date
